0	1.0000000
1	0.6277491
2	0.4457171
3	0.3245841
4	0.2391269
5	0.1773523
6	0.1321112
7	0.0987125
8	0.0739244
9	0.0554572
10	0.0416605
11	0.0313309
12	0.0235840
13	0.0177662
14	0.0133923
15	0.0101008
16	0.0076219
17	0.0057538
18	0.0043452
19	0.0032825
20	0.0024804
21	0.0018748
22	0.0014174
23	0.0010718
24	0.0008106
25	0.0006132
26	0.0004640
27	0.0003511
28	0.0002657
29	0.0002011
30	0.0001522
31	0.0001153
32	0.0000873
33	0.0000661
34	0.0000500
35	0.0000379
36	0.0000287
37	0.0000217
38	0.0000165
39	0.0000125
40	0.0000095
41	0.0000072
42	0.0000054
43	0.0000041
44	0.0000031
45	0.0000024
46	0.0000018
47	0.0000014
48	0.0000010
49	0.0000008
50	0.0000006
